loinc_num,long_common_name,component,system,property,qname,f_component_match,f_system_match,f_property_match,f_long_name_match,label,stage1_prob,stage1_logit
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,C reactive protein,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
1959-6,Bicarbonate [Moles/volume] in Blood,Bicarbonate,Bld,SCnc,glucose in blood,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
10331-7,Rh [Type] in Blood,Rh,Bld,Type,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
18998-5,Trimethoprim+Sulfamethoxazole [Susceptibility],Trimethoprim+Sulfamethoxazole,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
890-4,Blood group antibody screen [Presence] in Serum or Plasma,Blood group antibody screen,Ser/Plas,ACnc,glucose in blood,0,0,1,1,0,0.05794713638509016,-2.7885302381943893
20565-8,"Carbon dioxide, total [Moles/volume] in Blood",Carbon dioxide,Bld,SCnc,glucose in blood,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
18906-8,Ciprofloxacin [Susceptibility],Ciprofloxacin,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
2143-6,Cortisol [Mass/volume] in Serum or Plasma,Cortisol,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride,Ser/Plas,SCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
18864-9,Ampicillin [Susceptibility],Ampicillin,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
15076-3,Glucose [Moles/volume] in Urine,Glucose,Urine,SCnc,glucose in blood,1,0,1,1,0,0.6874906161927554,0.7884136833645996
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase,Ser/Plas,CCnc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
26474-7,Lymphocytes [#/volume] in Blood,Lymphocytes,Bld,NCnc,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase,Ser/Plas,CCnc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,Staphylococcus aureus.methicillin resistant isolate,XXX,ACnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
925-8,Blood product disposition [Type],Blood product disposition,^BPU,Type,glucose in blood,0,0,0,1,0,0.028993607949855536,-3.511257661056342
14749-6,Glucose [Moles/volume] in Serum or Plasma,Glucose,Ser/Plas,SCnc,glucose in blood,1,0,1,1,0,0.6874906161927554,0.7884136833645996
14747-0,Glucose [Moles/volume] in Pleural fluid,Glucose,Plr fld,SCnc,glucose in blood,1,0,1,1,0,0.6874906161927554,0.7884136833645996
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Bilirubin.glucuronidated+Bilirubin.albumin bound,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
26464-8,Leukocytes [#/volume] in Blood,Leukocytes,Bld,NCnc,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
74774-1,"Glucose [Mass/volume] in Serum, Plasma or Blood",Glucose,Ser/Plas/Bld,MCnc,glucose in blood,1,1,1,1,1,0.9194228612616352,2.4345311776792378
8310-5,Body temperature,Body temperature,^Patient,Temp,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
934-0,Blood product unit ID [#],Blood product unit ID,Dose,Num,glucose in blood,0,0,0,1,0,0.028993607949855536,-3.511257661056342
14423-8,Bilirubin.total [Mass/volume] in Synovial fluid,Bilirubin,Synv fld,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Alanine aminotransferase,Ser/Plas,CCnc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
14764-5,Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO,Glucose^3H post 100 g glucose PO,Ser/Plas,SCnc,glucose in blood,1,0,1,1,0,0.6874906161927554,0.7884136833645996
1994-3,Calcium.ionized [Moles/volume] in Blood,Calcium.ionized,Bld,SCnc,glucose in blood,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,Indirect antiglobulin test.complement specific reagent,Ser/Plas,ACnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
26484-6,Monocytes [#/volume] in Blood,Monocytes,Bld,NCnc,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
18865-6,Ampicillin+Sulbactam [Susceptibility],Ampicillin+Sulbactam,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
882-1,ABO & Rh group [Type] in Blood,ABO+Rh group,Bld,Type,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
1250-0,Major crossmatch [interpretation],Major crossmatch,Ser/Plas,Imp,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
883-9,ABO group [Type] in Blood,ABO group,Bld,Type,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Cobalamins,Ser,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
31100-1,Hematocrit [Volume Fraction] of Blood by Impedance,Hematocrit,Bld,VFr,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase,Ser/Plas,CCnc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
2069-3,Chloride [Moles/volume] in Blood,Chloride,Bld,SCnc,glucose in blood,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
3082-5,Tyrosine aminotransferase [Mass/volume] in Plasma,Tyrosine aminotransferase,Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,C reactive protein,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
2111-3,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,Choriogonadotropin.beta subunit,Ser/Plas,SCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
14578-9,ABO group [Type] in Blood from Blood product unit,ABO group,Bld^BPU,Type,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
18955-5,Nitrofurantoin [Susceptibility],Nitrofurantoin,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
933-2,Blood product type,Blood product type,^BPU,Type,glucose in blood,0,0,0,1,0,0.028993607949855536,-3.511257661056342
19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
